country_region_code,country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
GB,United Kingdom,15/02/2020,-12,-7,-35,-12,-4,2
GB,United Kingdom,16/02/2020,-7,-6,-28,-7,-3,1
GB,United Kingdom,17/02/2020,10,1,24,-2,-14,2
GB,United Kingdom,18/02/2020,7,-1,20,-3,-14,2
GB,United Kingdom,19/02/2020,6,-2,8,-4,-14,3
GB,United Kingdom,20/02/2020,5,-2,4,-5,-14,3
GB,United Kingdom,21/02/2020,5,-1,10,-3,-15,3
GB,United Kingdom,22/02/2020,-4,-2,-7,-2,-2,1
GB,United Kingdom,23/02/2020,-1,-2,-5,3,-1,0
GB,United Kingdom,24/02/2020,-3,-1,-9,-2,-2,1
GB,United Kingdom,25/02/2020,-1,4,3,1,1,0
GB,United Kingdom,26/02/2020,1,0,6,-1,1,0
GB,United Kingdom,27/02/2020,2,1,8,0,0,0
GB,United Kingdom,28/02/2020,1,1,-13,0,-1,1
GB,United Kingdom,29/02/2020,1,1,-14,-2,0,0
GB,United Kingdom,01/03/2020,7,2,14,5,1,-1
GB,United Kingdom,02/03/2020,4,4,14,0,1,0
GB,United Kingdom,03/03/2020,2,3,11,-1,1,0
GB,United Kingdom,04/03/2020,2,3,2,-2,1,1
GB,United Kingdom,05/03/2020,-1,2,1,-3,0,1
GB,United Kingdom,06/03/2020,5,6,22,1,1,0
GB,United Kingdom,07/03/2020,0,2,7,-1,1,0
GB,United Kingdom,08/03/2020,4,2,15,2,1,-1
GB,United Kingdom,09/03/2020,0,4,4,-3,0,1
GB,United Kingdom,10/03/2020,-2,5,4,-4,0,1
GB,United Kingdom,11/03/2020,0,5,10,-6,0,1
GB,United Kingdom,12/03/2020,-1,11,5,-8,-1,2
GB,United Kingdom,13/03/2020,-2,11,12,-9,-4,2
GB,United Kingdom,14/03/2020,-10,7,1,-15,-2,2
GB,United Kingdom,15/03/2020,-11,7,-1,-16,-4,2
GB,United Kingdom,16/03/2020,-3,20,29,-16,-9,4
GB,United Kingdom,17/03/2020,-15,21,6,-27,-16,7
GB,United Kingdom,18/03/2020,-21,22,-3,-34,-23,10
GB,United Kingdom,19/03/2020,-21,24,2,-37,-27,11
GB,United Kingdom,20/03/2020,-28,10,6,-40,-29,13
